motif,observed,background,percent.observed,percent.background,fold.enrichment,pvalue,motif.name,p.adjust,p.adjust.FDR
MA0007.3,2,2101,100,5.2525,19.0385530699667,0.00275763144078602,Ar,0.0496373659341484,0.0496373659341484
MA0077.1,2,3145,100,7.8625,12.7186009538951,0.00618007950198755,SOX9,0.0556207155178879,0.0556207155178879
MA1105.1,2,5299,100,13.2475,7.54859407435365,0.0175467524188105,GRHL2,0.105280514512863,0.105280514512863
MA0139.1,2,7059,100,17.6475,5.66652500354158,0.0311397922448061,CTCF,0.125706480162004,0.125706480162004
MA0901.1,2,7475,100,18.6875,5.35117056856187,0.0349184667116678,HOXB13,0.125706480162004,0.125706480162004
MA0018.3,1,2033,50,5.0825,9.83767830791933,0.0990680254506362,CREB1,0.297204076351909,0.297204076351909
MA0107.1,1,2703,50,6.7575,7.39918608953015,0.130585194629866,RELA,0.335790500476798,0.335790500476798
MA0036.3,1,4648,50,11.62,4.30292598967298,0.218900127503188,GATA2,0.492525286882172,0.492525286882172
MA0785.1,1,5936,50,14.84,3.36927223719677,0.274780599514988,POU2F1,0.549561199029976,0.549561199029976
MA0481.2,1,8433,50,21.0825,2.3716352424997,0.377206978924473,FOXP1,0.678972562064052,0.678972562064052
MA0491.1,0,4240,0,10.6,0,1,JUND,1,1
MA0076.2,0,1794,0,4.485,0,1,ELK4,1,1
MA0148.3,0,12878,0,32.195,0,1,FOXA1,1,1
MA0691.1,0,3136,0,7.84,0,1,TFAP4,1,1
MA0473.2,0,1774,0,4.435,0,1,ELF1,1,1
MA0761.1,0,655,0,1.6375,0,1,ETV1,1,1
MA0024.3,0,209,0,0.5225,0,1,E2F1,1,1
MA0147.3,0,1099,0,2.7475,0,1,MYC,1,1
