motif,observed,background,percent.observed,percent.background,fold.enrichment,pvalue,motif.name,p.adjust,p.adjust.FDR
MA0107.1,3,4799,60,11.9975,5.00104188372578,0.0143041827492263,RELA,0.257475289486073,0.257475289486073
MA0473.2,2,3167,40,7.9175,5.05209977897063,0.0533267891889682,ELF1,0.28107462283892,0.28107462283892
MA0036.3,2,3234,40,8.085,4.94743351886209,0.0554138363568013,GATA2,0.28107462283892,0.28107462283892
MA1105.1,2,3791,40,9.4775,4.22052228963334,0.073965780953253,GRHL2,0.28107462283892,0.28107462283892
MA0491.1,2,3912,40,9.78,4.08997955010225,0.0782651436128043,JUND,0.28107462283892,0.28107462283892
MA0901.1,2,4328,40,10.82,3.69685767097967,0.0937236220300716,HOXB13,0.28107462283892,0.28107462283892
MA0076.2,2,4723,40,11.8075,3.38767732373491,0.109306797770691,ELK4,0.28107462283892,0.28107462283892
MA0481.2,2,5535,40,13.8375,2.8906955736224,0.143771980400468,FOXP1,0.323486955901052,0.323486955901052
MA0139.1,3,12737,60,31.8425,1.88427416189055,0.188281994628482,CTCF,0.368672612124695,0.368672612124695
MA0761.1,1,1792,20,4.48,4.46428571428571,0.204818117847053,ETV1,0.368672612124695,0.368672612124695
MA0148.3,2,7442,40,18.605,2.14995968825585,0.234419554175021,FOXA1,0.38359563410458,0.38359563410458
MA0007.3,1,2392,20,5.98,3.34448160535117,0.265326579280821,Ar,0.397989868921232,0.397989868921232
MA0018.3,1,2683,20,6.7075,2.98173686172195,0.293315038827972,CREB1,0.406128515300268,0.406128515300268
MA0077.1,0,2139,0,5.3475,0,1,SOX9,1,1
MA0691.1,0,3725,0,9.3125,0,1,TFAP4,1,1
MA0785.1,0,3118,0,7.795,0,1,POU2F1,1,1
MA0024.3,0,724,0,1.81,0,1,E2F1,1,1
MA0147.3,0,3675,0,9.1875,0,1,MYC,1,1
