motif,observed,background,percent.observed,percent.background,fold.enrichment,pvalue,motif.name,p.adjust,p.adjust.FDR
MA0901.1,16,4020,55.1724137931034,10.05,5.48979241722422,1.98139296927262e-09,HOXB13,3.56650734469071e-08,3.56650734469071e-08
MA0691.1,14,3862,48.2758620689655,9.655,5.0000892873087,1.13711094803412e-07,TFAP4,7.98960803076442e-07,7.98960803076442e-07
MA0481.2,16,5381,55.1724137931034,13.4525,4.1012758812937,1.33160133846074e-07,FOXP1,7.98960803076442e-07,7.98960803076442e-07
MA0491.1,13,3918,44.8275862068966,9.795,4.57657847951981,1.11952442095114e-06,JUND,4.89813964816876e-06,4.89813964816876e-06
MA0076.2,14,4720,48.2758620689655,11.8,4.09117475160725,1.36059434671354e-06,ELK4,4.89813964816876e-06,4.89813964816876e-06
MA0107.1,14,4999,48.2758620689655,12.4975,3.86284153382401,2.72898544715676e-06,RELA,8.18695634147027e-06,8.18695634147027e-06
MA0148.3,15,7225,51.7241379310345,18.0625,2.86362009306765,4.13988711313667e-05,FOXA1,0.000106454240052086,0.000106454240052086
MA0473.2,9,3327,31.0344827586207,8.3175,3.73122726283387,0.000405394489321164,ELF1,0.00091213760097262,0.00091213760097262
MA1105.1,9,3685,31.0344827586207,9.2125,3.36873625602396,0.000857703438937654,GRHL2,0.00171540687787531,0.00171540687787531
MA0007.3,7,2367,24.1379310344828,5.9175,4.0790757979692,0.00123896409347275,Ar,0.00223013536825096,0.00223013536825096
MA0077.1,6,2082,20.6896551724138,5.205,3.97495776607374,0.00333285429444504,SOX9,0.00545376157272825,0.00545376157272825
MA0036.3,7,3100,24.1379310344828,7.75,3.11457174638487,0.00569137674345029,GATA2,0.00853706511517544,0.00853706511517544
MA0139.1,16,12742,55.1724137931034,31.855,1.73198599256329,0.00784067024285405,CTCF,0.0108563126439518,0.0108563126439518
MA0761.1,5,1886,17.2413793103448,4.715,3.65670823125023,0.0106926267376488,ETV1,0.0137476629484056,0.0137476629484056
MA0147.3,7,3540,24.1379310344828,8.85,2.72744983440483,0.0115628845261044,MYC,0.0138754614313252,0.0138754614313252
MA0018.3,6,2742,20.6896551724138,6.855,3.01818456198597,0.01248627253747,CREB1,0.0140470566046537,0.0140470566046537
MA0785.1,6,3027,20.6896551724138,7.5675,2.73401455862752,0.0195729064853912,POU2F1,0.0207242539257084,0.0207242539257084
MA0024.3,1,716,3.44827586206897,1.79,1.92641109612791,0.407845220783872,E2F1,0.407845220783872,0.407845220783872
