motif,observed,background,percent.observed,percent.background,fold.enrichment,pvalue,motif.name,p.adjust,p.adjust.FDR
MA0107.1,13,5435,54.1666666666667,13.5875,3.98650720637841,3.03675945688764e-06,RELA,5.46616702239775e-05,5.46616702239775e-05
MA0147.3,11,4396,45.8333333333333,10.99,4.17045799211404,1.77151661686559e-05,MYC,0.000159436495517903,0.000159436495517903
MA0036.3,8,2705,33.3333333333333,6.7625,4.92914356130622,0.000119229145845978,GATA2,0.000715374875075869,0.000715374875075869
MA0785.1,7,2472,29.1666666666667,6.18,4.71952535059331,0.000463951638806339,POU2F1,0.00208778237462853,0.00208778237462853
MA0018.3,7,2882,29.1666666666667,7.205,4.04811473513764,0.00115995616844885,CREB1,0.00417584220641587,0.00417584220641587
MA0139.1,16,14238,66.6666666666667,35.595,1.87292222690453,0.00191355823445394,CTCF,0.00574067470336183,0.00574067470336183
MA0007.3,6,2460,25,6.15,4.0650406504065,0.00276615083261271,Ar,0.00711295928386125,0.00711295928386125
MA0491.1,7,3685,29.1666666666667,9.2125,3.16598824061511,0.004740702942462,JUND,0.0106665816205395,0.0106665816205395
MA0691.1,7,3811,29.1666666666667,9.5275,3.06131374092539,0.0057091983430015,TFAP4,0.011418396686003,0.011418396686003
MA0901.1,6,3433,25,8.5825,2.91290416545296,0.0138653894737988,HOXB13,0.0249577010528379,0.0249577010528379
MA0024.3,3,887,12.5,2.2175,5.6369785794814,0.0155473605425251,E2F1,0.0254411354332229,0.0254411354332229
MA0473.2,6,3688,25,9.22,2.7114967462039,0.0192379163797607,ELF1,0.0288568745696411,0.0288568745696411
MA0761.1,4,2086,16.6666666666667,5.215,3.19590923617769,0.0340032891165378,ETV1,0.0470814772382831,0.0470814772382831
MA1105.1,5,3378,20.8333333333333,8.445,2.46694296427867,0.0469901844839534,GRHL2,0.0604159514793687,0.0604159514793687
MA0481.2,6,4814,25,12.035,2.0772746157042,0.0603449882528857,FOXP1,0.0724139859034628,0.0724139859034628
MA0148.3,6,6132,25,15.33,1.63078930202218,0.150447872875708,FOXA1,0.169253856985171,0.169253856985171
MA0077.1,2,1800,8.33333333333333,4.5,1.85185185185185,0.294268445041745,SOX9,0.311578353573612,0.311578353573612
MA0076.2,4,5574,16.6666666666667,13.935,1.19602918311207,0.434984066464967,ELK4,0.434984066464967,0.434984066464967
