motif,observed,background,percent.observed,percent.background,fold.enrichment,pvalue,motif.name,p.adjust,p.adjust.FDR
MA0481.2,8,5783,61.5384615384615,14.4575,4.2565078013807,0.000123424908888917,FOXP1,0.00155746250608466,0.00155746250608466
MA0107.1,7,4365,53.8461538461538,10.9125,4.93435544981937,0.000173051389564963,RELA,0.00155746250608466,0.00155746250608466
MA0148.3,8,8042,61.5384615384615,20.105,3.06085359554646,0.00128910361310281,FOXA1,0.00773462167861687,0.00773462167861687
MA0007.3,4,2324,30.7692307692308,5.81,5.29590891036674,0.00531857346477058,Ar,0.0164096877690242,0.0164096877690242
MA1105.1,5,3944,38.4615384615385,9.86,3.90076454985177,0.00607139113928503,GRHL2,0.0164096877690242,0.0164096877690242
MA0491.1,5,3987,38.4615384615385,9.9675,3.8586946036156,0.00636097460911613,JUND,0.0164096877690242,0.0164096877690242
MA0076.2,5,3990,38.4615384615385,9.975,3.85579332947754,0.00638154524350941,ELK4,0.0164096877690242,0.0164096877690242
MA0901.1,5,4709,38.4615384615385,11.7725,3.26706633778199,0.0128517188781281,HOXB13,0.0289163674757882,0.0289163674757882
MA0036.3,4,3332,30.7692307692308,8.33,3.69378520639025,0.0186347580237206,GATA2,0.0372695160474413,0.0372695160474413
MA0785.1,4,3533,30.7692307692308,8.8325,3.48363778876091,0.0226839182145244,POU2F1,0.0408310527861439,0.0408310527861439
MA0077.1,3,2193,23.0769230769231,5.4825,4.209197095654,0.0311215251976782,SOX9,0.0509261321416553,0.0509261321416553
MA0139.1,7,11908,53.8461538461538,29.77,1.80873879227927,0.0600062857032894,CTCF,0.0880826108813907,0.0880826108813907
MA0473.2,3,2913,23.0769230769231,7.2825,3.16881882278381,0.0636152189698933,ELF1,0.0880826108813907,0.0880826108813907
MA0018.3,2,2607,15.3846153846154,6.5175,2.36050868962261,0.206214591458639,CREB1,0.265133046161107,0.265133046161107
MA0147.3,2,3037,15.3846153846154,7.5925,2.02629112737773,0.259076613083979,MYC,0.310891935700775,0.310891935700775
MA0691.1,2,3662,15.3846153846154,9.155,1.68046044616225,0.336962624497572,TFAP4,0.379082952559769,0.379082952559769
MA0761.1,1,1539,7.69230769230769,3.8475,1.99930024491428,0.399582070600314,ETV1,0.423086898282686,0.423086898282686
MA0024.3,0,569,0,1.4225,0,1,E2F1,1,1
