motif,observed,background,percent.observed,percent.background,fold.enrichment,pvalue,motif.name,p.adjust,p.adjust.FDR
MA0691.1,55,3864,37.6712328767123,9.66,3.89971354831391,9.41060160304491e-20,TFAP4,1.69390828854808e-18,1.69390828854808e-18
MA0147.3,52,4013,35.6164383561644,10.0325,3.55010599114522,7.87681096028445e-17,MYC,5.58547398344883e-16,5.58547398344883e-16
MA0107.1,59,5168,40.4109589041096,12.92,3.12778319691251,9.30912330574805e-17,RELA,5.58547398344883e-16,5.58547398344883e-16
MA0491.1,49,3797,33.5616438356164,9.4925,3.53559587417608,1.0322177571794e-15,JUND,4.6449799073073e-15,4.6449799073073e-15
MA0785.1,41,2794,28.0821917808219,6.985,4.02035673311695,6.7934566747478e-15,POU2F1,2.44564440290921e-14,2.44564440290921e-14
MA0901.1,46,3842,31.5068493150685,9.605,3.28025500417163,1.64409684972157e-13,HOXB13,4.93229054916471e-13,4.93229054916471e-13
MA0139.1,92,13510,63.013698630137,33.775,1.86569055899739,4.83225873992674e-13,CTCF,1.2425808188383e-12,1.2425808188383e-12
MA1105.1,43,3563,29.4520547945205,8.9075,3.30643331962061,1.0274704227101e-12,GRHL2,2.31180845109772e-12,2.31180845109772e-12
MA0007.3,35,2437,23.972602739726,6.0925,3.93477271066492,1.90447658237523e-12,Ar,3.80895316475046e-12,3.80895316475046e-12
MA0036.3,38,2942,26.027397260274,7.355,3.53873518154643,4.21576693252598e-12,GATA2,7.58838047854676e-12,7.58838047854676e-12
MA0148.3,57,6643,39.041095890411,16.6075,2.35081113294662,7.88264133701334e-11,FOXA1,1.28988676423855e-10,1.28988676423855e-10
MA0481.2,47,5124,32.1917808219178,12.81,2.51301958016533,9.21133221498147e-10,FOXP1,1.38169983224722e-09,1.38169983224722e-09
MA0473.2,37,3536,25.3424657534247,8.84,2.86679476848695,3.23744187325906e-09,ELF1,4.48261182451254e-09,4.48261182451254e-09
MA0076.2,44,5155,30.1369863013699,12.8875,2.3384664443352,3.48314673437366e-08,ELK4,4.47833151562328e-08,4.47833151562328e-08
MA0018.3,30,2791,20.5479452054795,6.9775,2.94488645008663,7.78997201439002e-08,CREB1,9.34796641726803e-08,9.34796641726803e-08
MA0077.1,23,2000,15.7534246575342,5,3.15068493150685,1.03770032206045e-06,SOX9,1.16741286231801e-06,1.16741286231801e-06
MA0761.1,19,1959,13.013698630137,4.8975,2.65721258399938,9.93348817972061e-05,ETV1,0.000105178110138218,0.000105178110138218
MA0024.3,9,785,6.16438356164384,1.9625,3.14108716516883,0.00245852609750956,E2F1,0.00245852609750956,0.00245852609750956
