motif,observed,background,percent.observed,percent.background,fold.enrichment,pvalue,motif.name,p.adjust,p.adjust.FDR
MA0491.1,70,4008,40,10.02,3.99201596806387,1.25178904582213e-25,JUND,2.25322028247983e-24,2.25322028247983e-24
MA0901.1,55,4376,31.4285714285714,10.94,2.872812744842,1.94996405238083e-13,HOXB13,1.75496764714274e-12,1.75496764714274e-12
MA0107.1,57,4738,32.5714285714286,11.845,2.74980401616113,3.73685615765542e-13,RELA,1.79972356999616e-12,1.79972356999616e-12
MA0691.1,50,3750,28.5714285714286,9.375,3.04761904761905,3.99938571110258e-13,TFAP4,1.79972356999616e-12,1.79972356999616e-12
MA0147.3,46,3393,26.2857142857143,8.4825,3.09881689192034,2.62301921960943e-12,MYC,9.44286919059396e-12,9.44286919059396e-12
MA0036.3,43,3220,24.5714285714286,8.05,3.05235137533274,2.68888091664435e-11,GATA2,8.06664274993306e-11,8.06664274993306e-11
MA0007.3,36,2336,20.5714285714286,5.84,3.52250489236791,3.20042832490962e-11,Ar,8.22967283548188e-11,8.22967283548188e-11
MA1105.1,46,3792,26.2857142857143,9.48,2.77275467148885,1.14293277506942e-10,GRHL2,2.57159874390619e-10,2.57159874390619e-10
MA0018.3,37,2625,21.1428571428571,6.5625,3.22176870748299,2.02000494475683e-10,CREB1,4.04000988951367e-10,4.04000988951367e-10
MA0481.2,58,5722,33.1428571428571,14.305,2.31687222249962,2.39495595282394e-10,FOXP1,4.31092071508309e-10,4.31092071508309e-10
MA0148.3,69,7652,39.4285714285714,19.13,2.06108580389814,3.69478025727397e-10,FOXA1,6.0460040573574e-10,6.0460040573574e-10
MA0076.2,49,4414,28,11.035,2.5373810602628,5.02701576164802e-10,ELK4,7.54052364247203e-10,7.54052364247203e-10
MA0785.1,39,3151,22.2857142857143,7.8775,2.82903386679966,2.4605301430222e-09,POU2F1,3.40688789033842e-09,3.40688789033842e-09
MA0077.1,31,2144,17.7142857142857,5.36,3.30490405117271,4.24151015056833e-09,SOX9,5.45337019358785e-09,5.45337019358785e-09
MA0139.1,87,12465,49.7142857142857,31.1625,1.5953240501977,2.30252349761767e-07,CTCF,2.76302819714121e-07,2.76302819714121e-07
MA0761.1,20,1696,11.4285714285714,4.24,2.69541778975741,5.78277255177529e-05,ETV1,6.5056191207472e-05,6.5056191207472e-05
MA0473.2,27,3125,15.4285714285714,7.8125,1.97485714285714,0.000522237505246024,ELF1,0.00055295735849579,0.00055295735849579
MA0024.3,8,674,4.57142857142857,1.685,2.71301398897838,0.00998180730652645,E2F1,0.00998180730652645,0.00998180730652645
