motif,observed,background,percent.observed,percent.background,fold.enrichment,pvalue,motif.name,p.adjust,p.adjust.FDR
MA0473.2,5,3101,100,7.7525,12.8990648178007,2.79200554288144e-06,ELF1,5.0256099771866e-05,5.0256099771866e-05
MA1105.1,5,3874,100,9.685,10.3252452245741,8.50129759719829e-06,GRHL2,7.65116783747846e-05,7.65116783747846e-05
MA0076.2,5,4202,100,10.505,9.51927653498334,1.27660032289829e-05,ELK4,7.65960193738977e-05,7.65960193738977e-05
MA0107.1,5,4721,100,11.8025,8.47278119042576,2.28590622471002e-05,RELA,0.000102865780111951,0.000102865780111951
MA0077.1,4,2039,80,5.0975,15.6939676311918,3.22952012272413e-05,SOX9,0.000116262724418069,0.000116262724418069
MA0007.3,4,2389,80,5.9725,13.3947258267057,6.04421806298203e-05,Ar,0.000181326541889461,0.000181326541889461
MA0018.3,4,2747,80,6.8675,11.6490717145977,0.000104899750638108,CREB1,0.000269742215926565,0.000269742215926565
MA0785.1,4,2993,80,7.4825,10.6916137654527,0.000147088194147248,POU2F1,0.000330948436831308,0.000330948436831308
MA0036.3,4,3138,80,7.845,10.1975780752071,0.000177198981603621,GATA2,0.000335256443563673,0.000335256443563673
MA0147.3,4,3178,80,7.945,10.0692259282568,0.000186253579757596,MYC,0.000335256443563673,0.000335256443563673
MA0691.1,4,3968,80,9.92,8.06451612903226,0.000445193472161728,TFAP4,0.000700658156652634,0.000700658156652634
MA0901.1,4,4017,80,10.0425,7.96614388847398,0.000467105437768422,HOXB13,0.000700658156652634,0.000700658156652634
MA0481.2,4,5494,80,13.735,5.82453585729887,0.00158255074291419,FOXP1,0.0021912241055735,0.0021912241055735
MA0024.3,2,580,40,1.45,27.5862068965517,0.002038919252164,E2F1,0.00262146760992514,0.00262146760992514
MA0139.1,5,12312,100,30.78,3.2488628979857,0.0027612064002679,CTCF,0.00331344768032149,0.00331344768032149
MA0148.3,4,7306,80,18.265,4.37996167533534,0.00474883673796549,FOXA1,0.00534244133021117,0.00534244133021117
MA0491.1,3,4090,60,10.225,5.8679706601467,0.00911270983804495,JUND,0.00964875159322407,0.00964875159322407
MA0761.1,1,1690,20,4.225,4.73372781065089,0.194146654338385,ETV1,0.194146654338385,0.194146654338385
