motif,observed,background,percent.observed,percent.background,fold.enrichment,pvalue,motif.name,p.adjust,p.adjust.FDR
MA0473.2,5,3116,100,7.79,12.8369704749679,2.86023316635289e-06,ELF1,5.1484196994352e-05,5.1484196994352e-05
MA1105.1,5,3826,100,9.565,10.4547830632514,7.98726126585549e-06,GRHL2,7.18853513926994e-05,7.18853513926994e-05
MA0076.2,5,4176,100,10.44,9.57854406130268,1.23757269857962e-05,ELK4,7.42543619147771e-05,7.42543619147771e-05
MA0107.1,5,4693,100,11.7325,8.52333262305561,2.21888956165617e-05,RELA,9.98500302745276e-05,9.98500302745276e-05
MA0077.1,4,2017,80,5.0425,15.8651462568171,3.09369789245434e-05,SOX9,0.000111373124128356,0.000111373124128356
MA0007.3,4,2340,80,5.85,13.6752136752137,5.5688155876323e-05,Ar,0.000167064467628969,0.000167064467628969
MA0018.3,4,2795,80,6.9875,11.4490161001789,0.000112316090397654,CREB1,0.000288812803879682,0.000288812803879682
MA0785.1,4,3004,80,7.51,10.6524633821571,0.000149228650010562,POU2F1,0.000313789973868236,0.000313789973868236
MA0036.3,4,3116,80,7.79,10.2695763799743,0.000172360297606841,GATA2,0.000313789973868236,0.000313789973868236
MA0147.3,4,3125,80,7.8125,10.24,0.000174327763260131,MYC,0.000313789973868236,0.000313789973868236
MA0901.1,4,4014,80,10.035,7.97209765819631,0.000465741478394358,HOXB13,0.000701341118212728,0.000701341118212728
MA0691.1,4,4018,80,10.045,7.9641612742658,0.000467560745475152,TFAP4,0.000701341118212728,0.000701341118212728
MA0481.2,4,5518,80,13.795,5.79920260964118,0.0016095245636957,FOXP1,0.00222857247280943,0.00222857247280943
MA0024.3,2,594,40,1.485,26.9360269360269,0.00213711725598239,E2F1,0.00274772218626307,0.00274772218626307
MA0139.1,5,12222,100,30.555,3.27278677794142,0.00266173390127734,CTCF,0.00319408068153281,0.00319408068153281
MA0148.3,4,7287,80,18.2175,4.39138191299575,0.00470171120626881,FOXA1,0.00528942510705241,0.00528942510705241
MA0491.1,3,4042,60,10.105,5.93765462642256,0.00881259878738999,JUND,0.00933098695135411,0.00933098695135411
MA0761.1,1,1660,20,4.15,4.81927710843373,0.19098628376805,ETV1,0.19098628376805,0.19098628376805
