motif,observed,background,percent.observed,percent.background,fold.enrichment,pvalue,motif.name,p.adjust,p.adjust.FDR
MA0077.1,2,2709,66.6666666666667,6.7725,9.84373077396333,0.0131346674548908,SOX9,0.181827874588809,0.181827874588809
MA0491.1,2,4158,66.6666666666667,10.395,6.41333974667308,0.0301647889416521,JUND,0.181827874588809,0.181827874588809
MA0036.3,2,4168,66.6666666666667,10.42,6.39795265515035,0.0303046457648016,GATA2,0.181827874588809,0.181827874588809
MA0481.2,2,7446,66.6666666666667,18.615,3.581341212284,0.091047461411734,FOXP1,0.409713576352803,0.409713576352803
MA0007.3,1,2284,33.3333333333333,5.71,5.83771161704612,0.161708746967012,Ar,0.582151489081242,0.582151489081242
MA0691.1,1,3456,33.3333333333333,8.64,3.85802469135802,0.237455501389785,TFAP4,0.712366504169355,0.712366504169355
MA1105.1,1,4677,33.3333333333333,11.6925,2.85083030432613,0.311366006890591,GRHL2,0.80065544629009,0.80065544629009
MA0901.1,1,6208,33.3333333333333,15.52,2.14776632302405,0.397085496245861,HOXB13,0.893442366553188,0.893442366553188
MA0139.1,1,9262,33.3333333333333,23.155,1.43957388612971,0.546228694362791,CTCF,1,1
MA0148.3,1,10915,33.3333333333333,27.2875,1.22156054359444,0.615572005324372,FOXA1,1,1
MA0107.1,0,3538,0,8.845,0,1,RELA,1,1
MA0076.2,0,3047,0,7.6175,0,1,ELK4,1,1
MA0473.2,0,2489,0,6.2225,0,1,ELF1,1,1
MA0761.1,0,1152,0,2.88,0,1,ETV1,1,1
MA0785.1,0,4779,0,11.9475,0,1,POU2F1,1,1
MA0024.3,0,421,0,1.0525,0,1,E2F1,1,1
MA0018.3,0,2376,0,5.94,0,1,CREB1,1,1
MA0147.3,0,2042,0,5.105,0,1,MYC,1,1
