motif,observed,background,percent.observed,percent.background,fold.enrichment,pvalue,motif.name,p.adjust,p.adjust.FDR
MA0107.1,49,5277,63.6363636363636,13.1925,4.82367736489397,1.08984552497883e-24,RELA,1.96172194496189e-23,1.96172194496189e-23
MA0147.3,39,3890,50.6493506493506,9.725,5.20815944980469,9.11103055395831e-20,MYC,8.19992749856248e-19,8.19992749856248e-19
MA0785.1,32,2809,41.5584415584416,7.0225,5.91789840632845,2.08130345704626e-17,POU2F1,1.24878207422776e-16,1.24878207422776e-16
MA0901.1,35,3924,45.4545454545455,9.81,4.63349087202298,6.89359891152261e-16,HOXB13,3.10211951018518e-15,3.10211951018518e-15
MA0691.1,34,3866,44.1558441558442,9.665,4.56863364261191,3.36685103157616e-15,TFAP4,1.21206637136742e-14,1.21206637136742e-14
MA0036.3,30,2991,38.961038961039,7.4775,5.21043650431815,9.19276618782885e-15,GATA2,2.75782985634866e-14,2.75782985634866e-14
MA0077.1,25,1994,32.4675324675325,4.985,6.51304563039769,2.23726920670437e-14,SOX9,5.75297796009696e-14,5.75297796009696e-14
MA0491.1,32,3815,41.5584415584416,9.5375,4.35737264046569,1.19259307113333e-13,JUND,2.68333441005e-13,2.68333441005e-13
MA0148.3,42,7014,54.5454545454545,17.535,3.11066179329652,2.31836126983e-13,FOXA1,4.63672253966001e-13,4.63672253966001e-13
MA0007.3,26,2453,33.7662337662338,6.1325,5.50611231410253,2.87066353235477e-13,Ar,5.16719435823859e-13,5.16719435823859e-13
MA0018.3,26,2684,33.7662337662338,6.71,5.03222559854453,2.2309976551294e-12,CREB1,3.65072343566629e-12,3.65072343566629e-12
MA1105.1,29,3564,37.6623376623377,8.91,4.22697392394362,5.80581058215376e-12,GRHL2,8.70871587323064e-12,8.70871587323064e-12
MA0473.2,28,3510,36.3636363636364,8.775,4.14400414400415,2.49288697560075e-11,ELF1,3.45168965852411e-11,3.45168965852411e-11
MA0481.2,33,5365,42.8571428571429,13.4125,3.19531354014113,2.12269505574778e-10,FOXP1,2.72917935739e-10,2.72917935739e-10
MA0076.2,31,5052,40.2597402597403,12.63,3.18762789071578,1.07281209223251e-09,ELK4,1.28737451067902e-09,1.28737451067902e-09
MA0139.1,49,13333,63.6363636363636,33.3325,1.90913863755685,5.12812685485324e-08,CTCF,5.7691427117099e-08,5.7691427117099e-08
MA0024.3,8,795,10.3896103896104,1.9875,5.22747692559013,0.00014777248367194,E2F1,0.000156464982711466,0.000156464982711466
MA0761.1,11,1963,14.2857142857143,4.9075,2.91099628847973,0.00130624962796772,ETV1,0.00130624962796772,0.00130624962796772
