motif,observed,background,percent.observed,percent.background,fold.enrichment,pvalue,motif.name,p.adjust,p.adjust.FDR
MA0691.1,55,3901,37.6712328767123,9.7525,3.86272574998332,1.45636363339081e-19,TFAP4,2.62145454010346e-18,2.62145454010346e-18
MA0147.3,52,3968,35.6164383561644,9.92,3.59036676977464,4.89569157693608e-17,MYC,4.40612241924247e-16,4.40612241924247e-16
MA0107.1,59,5166,40.4109589041096,12.915,3.12899410794499,9.14228672747807e-17,RELA,5.48537203648684e-16,5.48537203648684e-16
MA0491.1,49,3859,33.5616438356164,9.6475,3.47879179431111,1.951166228992e-15,JUND,8.50757341494601e-15,8.50757341494601e-15
MA0785.1,41,2708,28.0821917808219,6.77,4.14803423645819,2.363214837485e-15,POU2F1,8.50757341494601e-15,8.50757341494601e-15
MA0901.1,46,3779,31.5068493150685,9.4475,3.33494038794057,9.05996799786024e-14,HOXB13,2.71799039935807e-13,2.71799039935807e-13
MA0139.1,92,13486,63.013698630137,33.715,1.86901078541115,4.30183724457172e-13,CTCF,1.10618672003273e-12,1.10618672003273e-12
MA1105.1,43,3534,29.4520547945205,8.835,3.33356590769899,7.8118759687476e-13,GRHL2,1.75767209296821e-12,1.75767209296821e-12
MA0036.3,38,2882,26.027397260274,7.205,3.61240766971186,2.26995641326137e-12,GATA2,4.53991282652274e-12,4.53991282652274e-12
MA0007.3,35,2529,23.972602739726,6.3225,3.79163348987363,5.40565465959287e-12,Ar,9.73017838726717e-12,9.73017838726717e-12
MA0148.3,57,6839,39.041095890411,17.0975,2.28343885892154,2.50050811898938e-10,FOXA1,4.09174055834626e-10,4.09174055834626e-10
MA0481.2,47,5231,32.1917808219178,13.0775,2.46161581509599,1.82036447093719e-09,FOXP1,2.73054670640578e-09,2.73054670640578e-09
MA0473.2,37,3501,25.3424657534247,8.7525,2.8954545276692,2.47323915563319e-09,ELF1,3.42448498472287e-09,3.42448498472287e-09
MA0076.2,44,5132,30.1369863013699,12.83,2.34894671094075,3.05045147924306e-08,ELK4,3.92200904474107e-08,3.92200904474107e-08
MA0018.3,30,2872,20.5479452054795,7.18,2.8618308085626,1.44996103452635e-07,CREB1,1.73995324143162e-07,1.73995324143162e-07
MA0077.1,23,1955,15.7534246575342,4.8875,3.2232070910556,7.03376475846413e-07,SOX9,7.91298535327215e-07,7.91298535327215e-07
MA0761.1,19,1924,13.013698630137,4.81,2.70555065075613,7.84824462830607e-05,ETV1,8.30990607702996e-05,8.30990607702996e-05
MA0024.3,9,780,6.16438356164384,1.95,3.16122233930453,0.00235608500125134,E2F1,0.00235608500125134,0.00235608500125134
