motif,observed,background,percent.observed,percent.background,fold.enrichment,pvalue,motif.name,p.adjust,p.adjust.FDR
MA0107.1,500,4660,32.5520833333333,11.65,2.79417024320458,1.10024319870996e-109,RELA,1.98043775767792e-108,1.98043775767792e-108
MA0785.1,394,3097,25.6510416666667,7.7425,3.31301797438381,2.58719241692725e-106,POU2F1,2.32847317523452e-105,2.32847317523452e-105
MA1105.1,436,3770,28.3854166666667,9.425,3.01171529619805,1.55664008511244e-104,GRHL2,9.33984051067466e-104,9.33984051067466e-104
MA0076.2,477,4495,31.0546875,11.2375,2.7634872080089,5.78301083332786e-102,ELK4,2.60235487499754e-101,2.60235487499754e-101
MA0147.3,409,3431,26.6276041666667,8.5775,3.10435490138929,1.81328784573535e-101,MYC,6.52783624464727e-101,6.52783624464727e-101
MA0148.3,643,7598,41.8619791666667,18.995,2.20384201982978,7.57504371722191e-99,FOXA1,2.27251311516657e-98,2.27251311516657e-98
MA0901.1,454,4258,29.5572916666667,10.645,2.77663613590105,6.02334704588708e-97,HOXB13,1.54886066894239e-96,1.54886066894239e-96
MA0491.1,413,3816,26.8880208333333,9.54,2.81845082110412,5.68190027904155e-89,JUND,1.27842756278435e-88,1.27842756278435e-88
MA0481.2,509,5632,33.1380208333333,14.08,2.35355261600379,1.26307880051828e-83,FOXP1,2.52615760103656e-83,2.52615760103656e-83
MA0036.3,347,3200,22.5911458333333,8,2.82389322916667,2.15872299402977e-73,GATA2,3.88570138925359e-73,3.88570138925359e-73
MA0473.2,337,3146,21.9401041666667,7.865,2.78958730663276,1.02210217617634e-69,ELF1,1.67253083374311e-69,1.67253083374311e-69
MA0691.1,370,3718,24.0885416666667,9.295,2.5915590819437,1.4757396133269e-68,TFAP4,2.21360941999035e-68,2.21360941999035e-68
MA0077.1,262,2054,17.0572916666667,5.135,3.32177052904901,1.91848036619486e-68,SOX9,2.65635743011596e-68,2.65635743011596e-68
MA0018.3,295,2633,19.2057291666667,6.5825,2.91769527788328,1.23798876688898e-64,CREB1,1.59169984314297e-64,1.59169984314297e-64
MA0761.1,204,1792,13.28125,4.48,2.96456473214286,6.45546514361503e-45,ETV1,7.74655817233803e-45,7.74655817233803e-45
MA0139.1,732,12392,47.65625,30.98,1.53829083279535,3.29661707610475e-44,CTCF,3.70869421061784e-44,3.70869421061784e-44
MA0007.3,234,2328,15.234375,5.82,2.61759020618557,1.60290323918844e-42,Ar,1.69719166502305e-42,1.69719166502305e-42
MA0024.3,75,684,4.8828125,1.71,2.85544590643275,4.83533025729568e-16,E2F1,4.83533025729568e-16,4.83533025729568e-16
